pattern_id,name,category,decision_criteria,signals,intent,variants,decision_questions,web_queries,verification_gate,dependencies,conflicts,skill_level_notes,related_fragments,core_pattern_ref,domain_ref,shortcode
tenant-isolation,Tenant Isolation,security,"Use when implementing prevent cross-tenant data access with signals: shared data,multi-tenant,customer separation","shared data,multi-tenant,customer separation",Prevent cross-tenant data access,row-level-security;schema-per-tenant;database-per-tenant,What compliance requirements apply?;How many tenants expected?;What isolation level required?,multi-tenant isolation patterns {date};PostgreSQL RLS best practices {date},QG-M2,database;security,,Basic: RLS with tenant_id column;Advanced: Schema isolation with connection pooling,rls-best-practices;multi-tenant-patterns;testing-tenant-isolation,tenant-isolation.md,tenant.md,ZTI
agent-runtime,Agent Runtime,ai,Use for AI/agent workloads requiring design agent execution framework,"LLM agents,orchestration,multi-step",Design agent execution framework,langgraph;crewai;autogen;custom,What orchestration complexity needed?;Human-in-the-loop required?;State persistence needs?,LangGraph agent patterns {date};agent orchestration best practices {date},QG-M3,tenant-isolation,,Basic: Single agent with tools;Advanced: Hierarchical multi-agent,agent-runtime-patterns;run-contracts;memory-tiers,langgraph.md;agent-orchestration.md,ai-runtime.md,ZAR
migration-per-tenant,Migration Per Tenant,database,Use when: tenant-aware migrations,"schema DDL,zero-downtime",Tenant-aware migrations,shared;per-schema;per-database,Migration strategy?;Rollback plan?,multi-tenant database migrations {date},QG-M2,tenant-isolation,,Basic: Shared migrations;Advanced: Per-tenant DDL,tenant-migration-patterns;deployment
rag-retrieval,Rag Retrieval,ai,Use for AI/agent workloads requiring rag retrieval patterns,"semantic search,document retrieval",RAG retrieval patterns,vector-search;hybrid;keyword,Retrieval method?;Chunk size?;Tenant isolation?,RAG retrieval patterns {date},QG-M3,vector-database,,Basic: Simple vector;Advanced: Hybrid retrieval,rag-architecture-guide;vector-database-guide
rag-generation,Rag Generation,ai,Use for AI/agent workloads requiring rag generation patterns,"context augmentation,synthesis",RAG generation patterns,stuff;map-reduce;refine,Generation strategy?;Context window?,RAG generation patterns {date},QG-M3,rag-retrieval,,Basic: Stuff all;Advanced: Map-reduce,rag-architecture-guide;ai-runtime
embedding-management,Embedding Management,ai,Use for AI/agent workloads requiring embedding lifecycle,"batch processing,updates",Embedding lifecycle,batch;incremental;real-time,Update frequency?;Staleness detection?,embedding lifecycle management {date},QG-M3,embedding-strategy,,Basic: Batch;Advanced: Real-time sync,model-fine-tuning-guide;vector-database-guide
agent-fallback,Agent Fallback,ai,Use for AI/agent workloads requiring agent fallback chains,"graceful degradation,timeout",Agent fallback chains,model-fallback;provider-fallback;cache,Fallback hierarchy?;Quality thresholds?,LLM fallback patterns {date},QG-M3,circuit-breaker,,Basic: Single fallback;Advanced: Chain with quality gates,agent-resilience-patterns;circuit-breaker
context-compression,Context Compression,ai,Use for AI/agent workloads requiring context compression,"token optimization,summarization",Context compression,truncation;summarization;sliding-window,Compression strategy?;Information loss tolerance?,LLM context compression {date},QG-M3,agent-memory-optimization,,Basic: Truncation;Advanced: Semantic compression,memory-tiers;context-compiler-patterns
tool-result-caching,Tool Result Caching,ai,Use for AI/agent workloads requiring tool result caching,"deterministic tools,cache",Tool result caching,per-request;per-session;per-tenant,Cache TTL?;Invalidation strategy?,agent tool caching {date},QG-M3,tool-execution,,Basic: No cache;Advanced: Tenant-scoped TTL,tool-execution;caching-strategies
zero-trust,Zero Trust,security,"Use when implementing zero trust architecture with signals: never trust,always verify","never trust,always verify",Zero trust architecture,network;identity;data,Trust boundaries?;Verification points?,zero trust architecture SaaS {date},QG-S5,api-security,,Basic: Perimeter;Advanced: Full zero-trust,all-security-patterns;network-security-patterns
rbac,Rbac,security,"Use when implementing role-based access control with signals: role-based,permissions","role-based,permissions",Role-based access control,flat;hierarchical;per-tenant,Role hierarchy?;Tenant admin roles?,RBAC multi-tenant patterns {date},QG-S5,sso-authentication,,Basic: Global roles;Advanced: Tenant-scoped roles,rbac-abac-patterns;sso-integration-patterns
abac,Abac,security,"Use when implementing attribute-based access with signals: attribute-based,dynamic","attribute-based,dynamic",Attribute-based access,policy-engine;inline;external,Policy complexity?;Real-time evaluation?,ABAC implementation patterns {date},QG-S5,rbac,,Basic: Simple rules;Advanced: External policy engine,rbac-abac-patterns;all-security-patterns
secrets-management,Secrets Management,security,"Use when implementing secrets management with signals: vault,rotation","vault,rotation",Secrets management,vault;kms;env-vars,Rotation policy?;Per-tenant secrets?,secrets management multi-tenant {date},QG-S5,encryption-key-management,,Basic: Env vars;Advanced: Vault with rotation,encryption-key-management;encryption-patterns
tenant-encryption-at-rest,Tenant Encryption At Rest,security,"Use when implementing tenant data encryption with signals: field-level,transparent","field-level,transparent",Tenant data encryption,platform-keys;tenant-keys;field-level,Key management?;Per-tenant keys?,field level encryption multi-tenant {date},QG-P1,data-encryption,,Basic: Platform keys;Advanced: Customer-managed keys,encryption-patterns;compliance
audit-immutability,Audit Immutability,security,"Use when implementing immutable audit logs with signals: tamper-proof,chain","tamper-proof,chain",Immutable audit logs,append-only;blockchain;signed,Tamper detection?;Retention period?,immutable audit log patterns {date},QG-S5,compliance,,Basic: Append-only;Advanced: Cryptographic chain,audit-logging-patterns;compliance
distributed-tracing,Distributed Tracing,observability,Use when: distributed tracing,"cross-service,correlation",Distributed tracing,opentelemetry;jaeger;zipkin,Trace propagation?;Tenant context in spans?,distributed tracing multi-tenant {date},QG-P1,tenant-context-propagation,,Basic: Request tracing;Advanced: Full distributed,observability;context-propagation-patterns
log-aggregation,Log Aggregation,observability,Use when: log aggregation,"centralized,filtering",Log aggregation,elk;loki;cloudwatch,Tenant log isolation?;Retention by tier?,log aggregation multi-tenant SaaS {date},QG-P1,observability,,Basic: Shared logs;Advanced: Tenant-isolated,observability;compliance
apm-integration,Apm Integration,observability,Use when: apm integration,"performance,latency",APM integration,datadog;newrelic;dynatrace,Metrics per tenant?;Cost allocation?,APM multi-tenant patterns {date},QG-P1,observability,,Basic: Global APM;Advanced: Tenant dashboards,observability;observability-sre
metric-cardinality,Metric Cardinality,observability,Use when: metric cardinality control,"high cardinality,labels",Metric cardinality control,aggregation;sampling;label-limits,Tenant label strategy?;Cost control?,metric cardinality multi-tenant {date},QG-P1,observability,,Basic: No tenant labels;Advanced: Controlled cardinality,observability;cost-tracking
alert-routing,Alert Routing,observability,Use when: alert routing,"tenant-specific,escalation",Alert routing,pagerduty;opsgenie;custom,Per-tenant alerts?;Escalation paths?,multi-tenant alerting patterns {date},QG-P1,observability,,Basic: Global alerts;Advanced: Tenant-routed,observability;notification-system
event-sourcing,Event Sourcing,architecture,Use when: event sourcing,"event store,replay",Event sourcing,eventstore;kafka;custom,Event schema?;Tenant partitioning?,event sourcing multi-tenant {date},QG-M2,event-driven,,Basic: Single stream;Advanced: Tenant streams,event-sourcing-guide;event-driven-patterns
cqrs,CQRS,architecture,Use when: cqrs pattern,read-write separation,CQRS pattern,separate-models;projections;views,Read model strategy?;Eventual consistency?,CQRS multi-tenant patterns {date},QG-M2,event-sourcing,,Basic: Shared models;Advanced: Tenant projections,cqrs-pattern-guide;event-sourcing-guide
saga-orchestration,Saga Orchestration,integration,"Use when integrating modules with distributed tx, compensation","distributed tx,compensation",Saga orchestration,state-machine;orchestrator;workflow,Compensation strategy?;Timeout handling?,saga orchestration patterns {date},QG-I1,event-driven,,Basic: Simple saga;Advanced: Nested compensation,saga-guide;event-driven-patterns
saga-choreography,Saga Choreography,integration,"Use when integrating modules with event coordination, loose-coupling","event coordination,loose-coupling",Saga choreography,domain-events;pub-sub;reactive,Event routing?;Ordering guarantees?,saga choreography patterns {date},QG-I1,saga-orchestration,,Basic: Simple events;Advanced: Event mesh,saga-guide;event-driven-patterns
dead-letter-queue,Dead Letter Queue,integration,"Use when integrating modules with failed messages, retry","failed messages,retry",Dead letter handling,dlq;retry-topic;manual,Retry policy?;Alert threshold?,dead letter queue patterns {date},QG-I1,event-driven,,Basic: Simple DLQ;Advanced: Automated retry,retry-policies;event-driven-patterns
event-schema-evolution,Event Schema Evolution,integration,"Use when integrating modules with backward compat, versioning","backward compat,versioning",Schema evolution,avro;protobuf;json-schema,Compatibility mode?;Registry?,event schema evolution {date},QG-I1,event-driven,,Basic: JSON;Advanced: Schema registry,facade-contracts;event-driven-patterns
cdn-caching,Cdn Caching,operations,Use for operational concerns: cdn caching,"static assets,edge",CDN caching,cloudfront;cloudflare;fastly,Tenant-aware purge?;Cache headers?,CDN multi-tenant patterns {date},QG-P1,caching-strategy,,Basic: Global CDN;Advanced: Tenant-aware,caching-strategies;performance-isolation
edge-caching,Edge Caching,operations,Use for operational concerns: edge caching,"geo-distribution,latency",Edge caching,edge-functions;regional-cache;cf-workers,Regional strategy?;Invalidation?,edge caching patterns SaaS {date},QG-P1,cdn-caching,,Basic: Regional CDN;Advanced: Edge compute,caching-strategies;data-residency
tenant-cache-isolation,Tenant Cache Isolation,operations,Use for operational concerns: tenant cache isolation,"namespace,quotas",Tenant cache isolation,key-prefix;separate-instance;quota,Isolation strategy?;Quota enforcement?,tenant cache isolation Redis {date},QG-M2,caching-strategy,,Basic: Key prefix;Advanced: Separate instances,caching-strategies;tenant-isolation
cache-warming,Cache Warming,operations,Use for operational concerns: cache warming,"precompute,startup",Cache warming,startup;scheduled;predictive,Warming strategy?;Priority data?,cache warming strategies {date},QG-P1,caching-strategy,,Basic: On-demand;Advanced: Predictive,caching-strategies;background-jobs
cache-aside,Cache Aside,architecture,Use when: cache-aside pattern,"lazy-load,write-through",Cache-aside pattern,read-through;write-through;write-behind,Consistency model?;TTL strategy?,cache aside pattern distributed {date},QG-M2,caching-strategy,,Basic: Simple TTL;Advanced: Write-through,caching-strategies;performance-isolation
api-gateway,API Gateway,integration,"Use when integrating modules with traffic management, routing","traffic management,routing",API gateway design,kong;aws-apigw;custom,Rate limiting?;Tenant routing?,API gateway multi-tenant {date},QG-P1,rate-limiting,,Basic: Simple routing;Advanced: Full gateway,api-gateway-patterns;rate-limiting
feature-flags,Feature Flags,operations,Use for operational concerns: feature flag management,"rollout,experimentation",Feature flag management,launchdarkly;unleash;custom,Per-tenant flags?;Rollout strategy?,feature flags multi-tenant SaaS {date},QG-P1,experimentation,,Basic: Global flags;Advanced: Tenant-targeted,experimentation;customization
health-scoring,Health Scoring,analytics,Use when: tenant health scoring,"tenant health,signals",Tenant health scoring,engagement;usage;risk,Health dimensions?;Scoring model?,tenant health scoring SaaS {date},QG-P1,tenant-analytics,,Basic: Simple metrics;Advanced: ML-based scoring,observability;customer-success-guide
analytics,Analytics,operations,Use for operational concerns: tenant analytics and reporting,"tenant analytics,reporting,business intelligence,dashboards",Tenant analytics and reporting,embedded-analytics;custom-dashboards;export-api;real-time-metrics,What analytics dimensions?;Self-service or managed?;Data export requirements?;Real-time needed?,tenant analytics patterns {date};embedded analytics multi-tenant SaaS {date};tenant reporting dashboards {date},QG-P1,observability,,Basic: Pre-built tenant dashboards;Advanced: Self-service analytics with custom dimensions,customer-success-guide;observability;cost-tracking
ai-operations,Ai Operations,ai,Use for AI/agent workloads requiring ai operations and management,"LLM operations,model management,AI infrastructure",AI operations and management,model-registry;deployment-pipelines;monitoring;cost-tracking,What AI models in use?;How to track model performance?;Cost attribution strategy?;Model versioning approach?,AI operations best practices {date};LLMOps platform patterns {date};AI model management multi-tenant {date},QG-M3,ai-runtime,,Basic: Single model deployment;Advanced: Full MLOps with model registry,llmops;llm-versioning;cost-tracking
ai-safety,Ai Safety,ai,Use for AI/agent workloads requiring ai safety guardrails and testing,"AI guardrails,safety testing,content moderation,harmful outputs",AI safety guardrails and testing,output-filtering;prompt-injection-detection;content-moderation;red-teaming,What safety controls needed?;Adversarial testing required?;Content moderation level?;Compliance for AI outputs?,AI safety guardrails patterns {date};LLM red teaming best practices {date};AI content moderation multi-tenant {date},QG-I3,ai-runtime,,Basic: Output filtering;Advanced: Full red-teaming with adversarial testing,testing-agent-safety;run-contracts;ai-runtime
ai-testing,Ai Testing,ai,Use for AI/agent workloads requiring ai agent testing patterns,"agent testing,LLM testing,AI quality assurance",AI agent testing patterns,unit-testing;integration-testing;regression-testing;chaos-testing,What agent behaviors to test?;Deterministic vs stochastic tests?;Regression strategy?;Cross-tenant testing?,AI agent testing patterns {date};LLM testing frameworks {date};agent quality assurance {date},QG-I3,ai-runtime,,Basic: Deterministic output tests;Advanced: Stochastic testing with statistical validation,testing-agent-safety;ai-runtime;run-contracts
documentation,Documentation,operations,Use for operational concerns: documentation automation,"docs automation,API documentation,tenant docs",Documentation automation,api-docs;sdk-generation;changelog;tenant-specific-docs,What documentation types needed?;Automated generation?;Tenant-specific customization?;Version documentation?,documentation automation patterns {date};API documentation generation SaaS {date};tenant documentation patterns {date},QG-P1,,,Basic: Auto-generated API docs;Advanced: Tenant-specific documentation portals,facade-contracts;api-gateway-patterns
resilience,Resilience,architecture,Use when: system resilience patterns,"fault tolerance,circuit breakers,graceful degradation",System resilience patterns,circuit-breaker;bulkhead;retry-policies;fallback-chains,What failure modes to handle?;Recovery strategy?;Blast radius isolation?;Degradation levels?,system resilience patterns {date};fault tolerance multi-tenant SaaS {date};graceful degradation architecture {date},QG-M1,circuit-breaker,,Basic: Circuit breakers with retries;Advanced: Full bulkhead isolation with graceful degradation,circuit-breaker;retry-policies;agent-resilience-patterns
ai-context,Ai Context,ai,Use for AI/agent workloads requiring ai context management,"context management,context window,token optimization",AI context management,context-compression;sliding-window;hierarchical-context;context-caching,What context window size?;Compression strategy?;Cross-session context?;Tenant context isolation?,AI context management patterns {date};LLM context window optimization {date};agent context strategies {date},QG-M3,memory-tiers,,Basic: Fixed context window;Advanced: Hierarchical context with compression,memory-tiers;context-compiler-patterns;memory-tiers
cost,Cost,operations,Use for operational concerns: cost management patterns,"cost management,billing optimization,resource allocation",Cost management patterns,cost-attribution;budget-enforcement;resource-quotas;cost-alerts,What cost dimensions to track?;Budget enforcement strategy?;Per-tenant cost allocation?;Optimization targets?,cost management multi-tenant SaaS {date};cloud cost optimization patterns {date};tenant cost attribution {date},QG-P1,cost-tracking,,Basic: Per-tenant cost tracking;Advanced: Full cost attribution with optimization recommendations,cost-tracking;usage-metering;llm-cost-optimization-guide
graphql,Graphql,integration,"Use when integrating modules with GraphQL, multi-tenant API, federated schema","GraphQL,multi-tenant API,federated schema",GraphQL multi-tenant patterns,tenant-scoped-schema;federated-graphql;dataloader-per-tenant;subscription-isolation,GraphQL or REST?;Tenant schema customization?;Federation needed?;Real-time subscriptions?,GraphQL multi-tenant patterns {date};GraphQL federation SaaS {date};tenant-aware GraphQL {date},QG-I1,facade-contracts,,Basic: Tenant-scoped queries with context;Advanced: Federated GraphQL with per-tenant schemas,facade-contracts;api-gateway-patterns;tenant-routing
capacity,Capacity,operations,Use for operational concerns: capacity planning and management,"resource planning,scaling thresholds,capacity management",Capacity planning and management,headroom-based;demand-forecasting;auto-scaling-triggers;tenant-quotas,What capacity dimensions to track?;Per-tenant limits?;Scaling triggers?;Forecast horizon?,capacity planning multi-tenant SaaS {date};resource capacity management patterns {date};tenant capacity allocation {date},QG-CP1,performance-isolation,,Basic: Static capacity limits;Advanced: Dynamic capacity with demand forecasting,performance-isolation;scaling-patterns;cost-tracking
auto-scaling,Auto Scaling,operations,Use for operational concerns: auto-scaling patterns for multi-tenant,"elastic scaling,demand response,resource automation",Auto-scaling patterns for multi-tenant,horizontal;vertical;predictive;tenant-aware,Scaling dimensions?;Per-tenant scaling policies?;Scale-down delay?;Minimum baseline?,auto-scaling multi-tenant SaaS {date};Kubernetes HPA tenant patterns {date};predictive scaling patterns {date},QG-P1,capacity,,Basic: CPU-based HPA;Advanced: Custom metrics with tenant-aware scaling,capacity-planning-guide;performance-isolation;cost-tracking
infrastructure,Infrastructure,operations,Use for operational concerns: infrastructure management patterns,"cloud resources,IaC,platform management",Infrastructure management patterns,terraform;pulumi;crossplane;tenant-provisioning,IaC tool choice?;Per-tenant infrastructure?;Environment parity?;Drift detection?,infrastructure as code multi-tenant {date};tenant infrastructure provisioning patterns {date};cloud infrastructure SaaS {date},QG-P1,deployment,,Basic: Shared infrastructure;Advanced: Per-tenant infrastructure with IaC,deployment;tenant-lifecycle;disaster-recovery
governance,Governance,operations,Use for operational concerns: platform governance patterns,"policy enforcement,standards compliance,decision frameworks",Platform governance patterns,policy-as-code;approval-workflows;audit-trails;change-advisory,What governance policies needed?;Approval requirements?;Audit depth?;Change management?,platform governance patterns {date};SaaS governance frameworks {date};policy-as-code multi-tenant {date},QG-P1,compliance,,Basic: Manual governance;Advanced: Policy-as-code with automated enforcement,compliance;audit-logging-patterns;rbac-abac-patterns
tenant-support,Tenant Support,operations,Use for operational concerns: tenant support management,"support tickets,issue tracking,customer service",Tenant support management,ticketing-integration;escalation-rules;sla-tracking;self-service,Support channels needed?;SLA tiers?;Escalation paths?;Self-service scope?,tenant support patterns SaaS {date};customer support multi-tenant {date};support ticketing integration {date},QG-P1,tenant-lifecycle,,Basic: Shared support queue;Advanced: Tier-based support with SLA tracking,tenant-lifecycle;sla-management-guide;notification-system
tenant-communication,Tenant Communication,operations,Use for operational concerns: tenant communication patterns,"notifications,announcements,messaging",Tenant communication patterns,in-app-messaging;email-campaigns;status-pages;release-notes,Communication channels?;Segmentation needs?;Automation level?;Opt-out handling?,tenant communication patterns SaaS {date};customer communication multi-tenant {date};SaaS notification strategies {date},QG-P1,notification-system,,Basic: Email notifications;Advanced: Multi-channel with segmentation,notification-system;tenant-lifecycle;support-engineer-guide
security,Security,security,"Use when implementing security architecture patterns with signals: access control,threat protection,data security","access control,threat protection,data security",Security architecture patterns,defense-in-depth;least-privilege;zero-trust;threat-modeling,Security posture?;Threat model scope?;Compliance requirements?;Incident response?,security architecture patterns SaaS {date};multi-tenant security best practices {date};cloud security patterns {date},QG-S5,tenant-isolation,,Basic: Perimeter security;Advanced: Zero-trust with defense-in-depth,all-security-patterns;rbac-abac-patterns;rbac-abac-patterns;encryption-key-management
monitoring,Monitoring,operations,Use for operational concerns: monitoring and alerting patterns,"metrics collection,alerting,dashboards",Monitoring and alerting patterns,prometheus;datadog;cloudwatch;tenant-scoped,What metrics to collect?;Per-tenant dashboards?;Alert routing?;Retention policy?,monitoring multi-tenant SaaS {date};tenant-aware monitoring patterns {date};SaaS observability stack {date},QG-P1,observability,,Basic: Shared monitoring;Advanced: Tenant-scoped dashboards with custom alerts,observability;notification-system;analytics-guide
incident-response,Incident Response,operations,Use for operational concerns: incident response patterns,"incident management,runbooks,post-mortems",Incident response patterns,runbook-automation;escalation-chains;blameless-postmortems;status-communication,Incident severity levels?;On-call rotation?;Communication protocol?;Post-mortem process?,incident response patterns SaaS {date};multi-tenant incident management {date};SRE incident practices {date},QG-IR1,monitoring,,Basic: Manual runbooks;Advanced: Automated response with tenant impact isolation,observability;notification-system;disaster-recovery;runbook-guide
sla-monitoring,Sla Monitoring,operations,Use for operational concerns: sla monitoring and enforcement,"SLA tracking,performance targets,breach detection",SLA monitoring and enforcement,uptime-tracking;latency-monitoring;breach-alerts;credit-automation,What SLAs to track?;Breach notification?;Credit automation?;Reporting frequency?,SLA monitoring patterns SaaS {date};multi-tenant SLA tracking {date};SLA breach detection {date},QG-SLA1,monitoring,,Basic: Uptime tracking;Advanced: Full SLA dashboard with automated credits,observability;support-engineer-guide;billing-integration-patterns
audit-logging,Audit Logging,security,"Use when implementing audit logging patterns with signals: audit trails,compliance logging,forensics","audit trails,compliance logging,forensics",Audit logging patterns,structured-logging;immutable-storage;tenant-scoped;compliance-retention,What events to audit?;Retention requirements?;Search capabilities?;Compliance mapping?,audit logging patterns SaaS {date};multi-tenant audit trails {date};compliance logging {date},QG-S5,compliance,,Basic: Application logging;Advanced: Immutable audit trails with compliance mapping,compliance;audit-logging-patterns;observability
data-export,Data Export,tenant,Use for tenant management: tenant data export patterns,"data portability,GDPR export,tenant data access",Tenant data export patterns,bulk-export;streaming-export;format-options;access-controls,Export formats needed?;Size limits?;Scheduling options?;Access controls?,tenant data export patterns {date};GDPR data portability SaaS {date};data export multi-tenant {date},QG-P1,compliance,,Basic: Manual CSV export;Advanced: Automated exports with multiple formats,compliance;data-residency;tenant-lifecycle
operations,Operations,operations,Use for operational concerns: operational patterns overview,"operational patterns,platform management,runtime concerns",Operational patterns overview,monitoring;alerting;scaling;capacity,What operational concerns?;Automation level?;On-call strategy?;Cost optimization?,SaaS operations patterns {date};platform operations best practices {date};multi-tenant operations {date},QG-P1,,,Basic: Manual operations;Advanced: Full automation with self-healing,observability;observability;disaster-recovery
ai-runtime,Ai Runtime,ai,Use for AI/agent workloads requiring ai model runtime patterns,"AI model runtime,inference,model serving",AI model runtime patterns,synchronous;asynchronous;batch;streaming,Inference latency requirements?;Batch vs real-time?;Model caching strategy?;Tenant isolation?,AI model runtime patterns {date};LLM inference optimization {date};model serving multi-tenant {date},QG-M3,ai-runtime,,Basic: Single model endpoint;Advanced: Multi-model routing with tenant isolation,ai-runtime;llmops;llmops
data-integrity,Data Integrity,data,Use when: data integrity patterns,"data validation,consistency,correctness",Data integrity patterns,validation;checksums;reconciliation;integrity-checks,What validation rules?;Consistency requirements?;Reconciliation frequency?;Error handling?,data integrity patterns SaaS {date};data validation multi-tenant {date};data consistency patterns {date},QG-M2,tenant-isolation,,Basic: Application-level validation;Advanced: Database constraints with reconciliation,compliance;tenant-isolation;observability
reporting,Reporting,analytics,Use when: reporting and analytics export,"business reports,analytics exports,scheduled reports",Reporting and analytics export,scheduled-reports;ad-hoc;dashboards;data-exports,Report types needed?;Scheduling frequency?;Export formats?;Tenant customization?,reporting patterns SaaS {date};multi-tenant reporting {date};business intelligence export {date},QG-P1,analytics,,Basic: Pre-built reports;Advanced: Custom report builder with scheduling,analytics-guide;analytics-guide;data-archival
payment-processing,Payment Processing,monetization,Use for billing/metering: payment processing patterns,"payment gateway,transactions,billing",Payment processing patterns,stripe;paddle;paypal;multi-gateway,Payment methods?;Multi-currency?;PCI compliance?;Retry logic?,payment processing SaaS {date};multi-tenant payment patterns {date};payment gateway integration {date},QG-P1,billing-integration,,Basic: Single payment gateway;Advanced: Multi-gateway with failover,billing-integration-patterns;usage-metering;compliance
partner-ecosystem,Partner Ecosystem,integration,"Use when integrating modules with partner integrations, marketplace, ecosystem","partner integrations,marketplace,ecosystem",Partner ecosystem patterns,partner-api;marketplace;white-label;revenue-share,Partner types?;Integration depth?;Revenue model?;Certification process?,partner ecosystem SaaS {date};marketplace architecture {date};partner integration patterns {date},QG-P1,tenant-lifecycle,,Basic: Partner API access;Advanced: Full marketplace with revenue sharing,tenant-lifecycle;billing-integration-patterns;customization
devops,Devops,operations,Use for operational concerns: devops and deployment automation,"CI/CD,automation,deployment",DevOps and deployment automation,github-actions;gitlab-ci;jenkins;argocd,CI/CD tooling?;Deployment strategy?;Environment management?;Rollback automation?,DevOps patterns SaaS {date};multi-tenant CI/CD {date};deployment automation patterns {date},QG-P1,deployment,,Basic: Simple CI/CD pipeline;Advanced: GitOps with tenant-aware deployments,deployment;devops-guide;observability
sre,Sre,operations,Use for operational concerns: sre practices and patterns,"site reliability,incident management,toil reduction",SRE practices and patterns,sli-slo;error-budgets;toil-automation;chaos-engineering,SLO targets?;Error budget policy?;Toil reduction strategy?;Chaos testing?,SRE patterns SaaS {date};site reliability multi-tenant {date};SLO management patterns {date},QG-P1,monitoring,,Basic: Basic SLOs;Advanced: Full SRE practice with chaos engineering,observability;incident-response-patterns;observability
sla,Sla,operations,Use for operational concerns: sla definition and management,"service agreements,SLA management,guarantees",SLA definition and management,availability;latency;support;compliance,Availability targets?;Latency guarantees?;Support SLAs?;Penalty structure?,SLA patterns SaaS {date};multi-tenant SLA management {date};service level agreements {date},QG-P1,sla-monitoring,,Basic: Standard SLAs;Advanced: Tiered SLAs with custom negotiations,sla-management-guide;support-engineer-guide;billing-integration-patterns
performance,Performance,operations,Use for operational concerns: performance optimization patterns,"performance optimization,latency,throughput",Performance optimization patterns,caching;query-optimization;async-processing;connection-pooling,Performance targets?;Bottleneck analysis?;Optimization priorities?;Load testing?,performance optimization SaaS {date};multi-tenant performance patterns {date};latency optimization {date},QG-P1,performance-isolation,,Basic: Basic caching;Advanced: Full performance suite with continuous optimization,performance-isolation;caching-strategies;observability
api-design,API Design,integration,"Use when integrating modules with API design, REST, versioning","API design,REST,versioning",API design patterns,rest;graphql;grpc;openapi,API style?;Versioning strategy?;Documentation approach?;SDK generation?,API design patterns {date};multi-tenant API design {date};REST API best practices {date},QG-I1,facade-contracts,,Basic: REST with versioning;Advanced: Multi-protocol with SDK generation,facade-contracts;graphql-multi-tenancy;api-documentation
ai-streaming-design,Ai Streaming Design,ai,Use for AI/agent workloads requiring ai streaming response patterns,"streaming inference,real-time AI,SSE",AI streaming response patterns,server-sent-events;websocket;chunked-response;long-polling,Streaming protocol?;Backpressure handling?;Connection management?;Tenant isolation?,AI streaming patterns {date};LLM streaming responses {date};real-time AI multi-tenant {date},QG-M3,ai-runtime,,Basic: SSE streaming;Advanced: Multi-tenant streaming with backpressure,ai-runtime;ai-runtime;performance-isolation
ai-feedback-loop,Ai Feedback Loop,ai,Use for AI/agent workloads requiring ai feedback and improvement,"feedback collection,RLHF,continuous improvement",AI feedback and improvement,thumbs-up-down;detailed-feedback;implicit-signals;rlhf,Feedback types?;Collection mechanism?;Tenant attribution?;Model improvement cycle?,AI feedback loop patterns {date};RLHF multi-tenant {date};LLM feedback collection {date},QG-M3,ai-operations,,Basic: Simple ratings;Advanced: Full feedback loop with model retraining,llmops;llmops;analytics-guide
ai-batch,Ai Batch,ai,Use for AI/agent workloads requiring batch ai processing patterns,"batch processing,bulk inference,scheduled AI",Batch AI processing patterns,queue-based;scheduled;event-triggered;priority-based,Batch size limits?;Priority handling?;Failure recovery?;Cost optimization?,batch AI processing patterns {date};LLM batch inference {date};bulk AI operations {date},QG-M3,background-jobs,,Basic: Simple queue processing;Advanced: Priority queues with cost optimization,background-jobs;llmops;cost-tracking
evaluation-patterns,Evaluation Patterns,ai,Use for AI/agent workloads requiring ai evaluation and benchmarking,"model evaluation,metrics,benchmarks",AI evaluation and benchmarking,accuracy;latency;cost;user-satisfaction,Evaluation metrics?;Benchmark strategy?;A/B testing approach?;Regression detection?,AI evaluation patterns {date};LLM benchmarking {date};model evaluation multi-tenant {date},QG-M3,ai-testing,,Basic: Accuracy metrics;Advanced: Full evaluation suite with A/B testing,testing-agent-safety;llmops;observability
dashboard,Dashboard,analytics,Use when: dashboard and visualization patterns,"dashboards,visualization,metrics display",Dashboard and visualization patterns,embedded;custom;tenant-branded;real-time,Dashboard types?;Real-time requirements?;Tenant customization?;Export capabilities?,dashboard patterns SaaS {date};multi-tenant dashboards {date};embedded analytics {date},QG-P1,analytics,,Basic: Pre-built dashboards;Advanced: Custom dashboard builder with tenant branding,analytics-guide;analytics-guide;observability
agent-orchestration,Agent Orchestration,ai,Use for AI/agent workloads requiring agent orchestration patterns,"multi-agent,coordination,workflow",Agent orchestration patterns,sequential;parallel;hierarchical;dynamic,Orchestration complexity?;State management?;Error handling?;Human-in-the-loop?,agent orchestration patterns {date};multi-agent coordination {date};AI agent workflows {date},QG-M3,ai-runtime,,Basic: Sequential execution;Advanced: Dynamic orchestration with state machines,ai-runtime;agent-coordination;run-contracts
discovery-patterns,Discovery Patterns,discovery,Use when: discovery phase patterns,"requirements,stakeholders,scope",Discovery phase patterns,stakeholder-interviews;requirement-gathering;scope-definition,What requirements exist?;Who are stakeholders?;What is in/out of scope?,SaaS discovery phase best practices {date};multi-tenant requirements gathering {date},QG-D1,,,Basic: Stakeholder interviews;Advanced: Full discovery workshop,analyst-guide
